id,name,raw_affiliation,country_id,normalized_name
26,"Department Of Psychology, Emory University, Atlanta, Ga, Usa.","Department of Psychology, Emory University, Atlanta, GA, USA.",,
27,"Arc Institute, Palo Alto, Ca, Usa.","Arc Institute, Palo Alto, CA, USA.",,
28,"Department Of Chemistry And Biotechnology, Graduate School Of Engineering, The University Of Tokyo, Bunkyo-Ku, Tokyo, Japan.","Department of Chemistry and Biotechnology, Graduate School of Engineering, The University of Tokyo, Bunkyo-ku, Tokyo, Japan.",,
29,"Department Of Biochemistry, University Of Zurich, Zurich, Switzerland.","Department of Biochemistry, University of Zurich, Zurich, Switzerland.",,
30,"Institute Of Pharmacology And Toxicology, University Of Zurich, Zurich, Switzerland.","Institute of Pharmacology and Toxicology, University of Zurich, Zurich, Switzerland.",,
31,"Institute Of Molecular Health Sciences, Swiss Federal Institute Of Technology (Eth Zürich), Zurich, Switzerland.","Institute of Molecular Health Sciences, Swiss Federal Institute of Technology (ETH Zürich), Zurich, Switzerland.",,
32,"Research Institute Of Wildlife Ecology, Department Of Interdisciplinary Life Sciences, University Of Veterinary Medicine, Vienna, Austria.","Research Institute of Wildlife Ecology, Department of Interdisciplinary Life Sciences, University of Veterinary Medicine, Vienna, Austria.",,
33,"Department Of Migration, Max-Planck Institute Of Animal Behavior, Radolfzell, Germany.","Department of Migration, Max-Planck Institute of Animal Behavior, Radolfzell, Germany.",,
34,"Senckenberg Biodiversity And Climate Research Centre (Sbik-F), Frankfurt Am Main, Germany.","Senckenberg Biodiversity and Climate Research Centre (SBiK-F), Frankfurt am Main, Germany.",,
35,"Institute Of Environmental Sciences, Faculty Of Biology, Jagiellonian University, Kraków, Poland.","Institute of Environmental Sciences, Faculty of Biology, Jagiellonian University, Kraków, Poland.",,
36,"Department Of Electrical Engineering, Stanford University, Stanford, Ca, Usa.","Department of Electrical Engineering, Stanford University, Stanford, CA, USA.",,
37,"Department Of Bioengineering, Stanford University, Stanford, Ca, Usa.","Department of Bioengineering, Stanford University, Stanford, CA, USA.",,
38,"Tumor Biology And Immunology Program, Spanish National Cancer Research Centre (Cnio), Madrid, Spain.","Tumor Biology and Immunology Program, Spanish National Cancer Research Centre (CNIO), Madrid, Spain.",,
39,"Instituto De Biomedicina De Sevilla (Ibis), Hospital Universitario Virgen Del Rocío/Csic/Universidad De Sevilla, Seville, Spain.","Instituto de Biomedicina de Sevilla (IBiS), Hospital Universitario Virgen del Rocío/CSIC/Universidad de Sevilla, Seville, Spain.",,
40,"Service Of Endocrinology, Diabetology, And Metabolism, Lausanne University Hospital, Lausanne, Switzerland.","Service of Endocrinology, Diabetology, and Metabolism, Lausanne University Hospital, Lausanne, Switzerland.",,
41,"Instituto Maimónides De Investigación Biomédica De Córdoba/Hospital Universitario Reina Sofia, Córdoba, Spain.","Instituto Maimónides de Investigación Biomédica de Córdoba/Hospital Universitario Reina Sofia, Córdoba, Spain.",,
42,"Centro Nacional De Investigaciones Cardiovasculares (Cnic), Madrid, Spain.","Centro Nacional de Investigaciones Cardiovasculares (CNIC), Madrid, Spain.",,
43,"Department Of Molecular Neuropathology, Centro De Biología Molecular Severo Ochoa (Csic-Uam), Madrid, Spain.","Department of Molecular Neuropathology, Centro de Biología Molecular Severo Ochoa (CSIC-UAM), Madrid, Spain.",,
44,"Department Of Medicine, Endocrinology, Diabetology, And Metabolism Unit, Chuv, Lausanne, Switzerland.","Department of Medicine, Endocrinology, Diabetology, and Metabolism Unit, CHUV, Lausanne, Switzerland.",,
45,"Oncobell, Bellvitge Biomedical Research Institute, Idibell, Barcelona, Spain.","Oncobell, Bellvitge Biomedical Research Institute, IDIBELL, Barcelona, Spain.",,
46,"Laboratory Of Stem Cell Biology And Developmental Genetics, The Francis Crick Institute, London, Uk.","Laboratory of Stem Cell Biology and Developmental Genetics, The Francis Crick Institute, London, UK.",,
47,"Lille University, Inserm, Chu Lille, Lille Neuroscience And Cognition, Umr-S 1172, Labex Distalz, Lille, France.","Lille University, Inserm, CHU Lille, Lille Neuroscience and Cognition, UMR-S 1172, Labex DistAlz, Lille, France.",,
48,"Department Of Radiology And Biomedical Imaging, University Of California San Francisco, San Francisco, Ca, Usa.","Department of Radiology and Biomedical Imaging, University of California San Francisco, San Francisco, CA, USA.",,
49,"Department Of Medicine And Helen Diller Family Comprehensive Cancer Center, University Of California San Francisco, San Francisco, Ca, Usa.","Department of Medicine and Helen Diller Family Comprehensive Cancer Center, University of California San Francisco, San Francisco, CA, USA.",,
50,"Preclinical Therapeutics Core, Helen Diller Comprehensive Cancer Center, University Of California San Francisco, San Francisco, Ca, Usa.","Preclinical Therapeutics Core, Helen Diller Comprehensive Cancer Center, University of California San Francisco, San Francisco, CA, USA.",,
51,"Department Of Pathology And Helen Diller Family Comprehensive Cancer Center, University Of California San Francisco, San Francisco, Ca, Usa.","Department of Pathology and Helen Diller Family Comprehensive Cancer Center, University of California San Francisco, San Francisco, CA, USA.",,
52,"Department Of Urology And Helen Diller Family Comprehensive Cancer Center, University Of California San Francisco, San Francisco, Ca, Usa.","Department of Urology and Helen Diller Family Comprehensive Cancer Center, University of California San Francisco, San Francisco, CA, USA.",,
53,"Department Of Chemical And Biomolecular Engineering, Johns Hopkins University, Baltimore, Md, Usa.","Department of Chemical and Biomolecular Engineering, Johns Hopkins University, Baltimore, MD, USA.",,
54,"Abramson Cancer Center, University Of Pennsylvania, Philadelphia, Pa, Usa.","Abramson Cancer Center, University of Pennsylvania, Philadelphia, PA, USA.",,
55,"Department Of Medicine, University Of Pennsylvania, Philadelphia, Pa, Usa.","Department of Medicine, University of Pennsylvania, Philadelphia, PA, USA.",,
56,"Revolution Medicines, Redwood City, Ca, Usa.","Revolution Medicines, Redwood City, CA, USA.",,
57,"Department Of Pathology And Immunology, University Of Geneva, 1211 Geneva, Switzerland.","Department of Pathology and Immunology, University of Geneva, 1211 Geneva, Switzerland.",,
58,"Department Of Pathology And Immunology, University Of Geneva, 1211 Geneva, Switzerland","Department of Pathology and Immunology, University of Geneva, 1211 Geneva, Switzerland; Institute for Cardiovascular Physiology and Pathophysiology, Biomedical Center, Ludwig-Maximilians University Munich, Munich, Germany. Electronic address: christoph.scheiermann@unige.ch.",,
59," Institute For Cardiovascular Physiology And Pathophysiology, Biomedical Center, Ludwig-Maximilians University Munich, Munich, Germany. Electronic Address: Christoph.Scheiermann@Unige.Ch.","Department of Pathology and Immunology, University of Geneva, 1211 Geneva, Switzerland; Institute for Cardiovascular Physiology and Pathophysiology, Biomedical Center, Ludwig-Maximilians University Munich, Munich, Germany. Electronic address: christoph.scheiermann@unige.ch.",,
60,"Department Of Neuroscience, School Of Life Sciences, Southern University Of Science And Technology, Shenzhen 518055, China.","Department of Neuroscience, School of Life Sciences, Southern University of Science and Technology, Shenzhen 518055, China.",,
61,"Department Of Neuroscience, School Of Life Sciences, Southern University Of Science And Technology, Shenzhen 518055, China","Department of Neuroscience, School of Life Sciences, Southern University of Science and Technology, Shenzhen 518055, China; Shenzhen Key Laboratory of Gene Regulation and Systems Biology, School of Life Sciences, Southern University of Science and Technology, Shenzhen 518055, China. Electronic address: chenglz@sustech.edu.cn.",,
62," Shenzhen Key Laboratory Of Gene Regulation And Systems Biology, School Of Life Sciences, Southern University Of Science And Technology, Shenzhen 518055, China. Electronic Address: Chenglz@Sustech.Edu.Cn.","Department of Neuroscience, School of Life Sciences, Southern University of Science and Technology, Shenzhen 518055, China; Shenzhen Key Laboratory of Gene Regulation and Systems Biology, School of Life Sciences, Southern University of Science and Technology, Shenzhen 518055, China. Electronic address: chenglz@sustech.edu.cn.",,
63,"Institute Of Biological Information Processing (Ibi-3), Forschungszentrum Jülich, Jülich, Germany","Institute of Biological Information Processing (IBI-3), Forschungszentrum Jülich, Jülich, Germany; Department of Systems Neurophysiology, Institute for Biology II, RWTH Aachen University, Aachen, Germany; German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany.",,
64," Department Of Systems Neurophysiology, Institute For Biology Ii, Rwth Aachen University, Aachen, Germany","Institute of Biological Information Processing (IBI-3), Forschungszentrum Jülich, Jülich, Germany; Department of Systems Neurophysiology, Institute for Biology II, RWTH Aachen University, Aachen, Germany; German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany.",,
65," German Center For Neurodegenerative Diseases (Dzne), Bonn, Germany.","Institute of Biological Information Processing (IBI-3), Forschungszentrum Jülich, Jülich, Germany; Department of Systems Neurophysiology, Institute for Biology II, RWTH Aachen University, Aachen, Germany; German Center for Neurodegenerative Diseases (DZNE), Bonn, Germany.",,
66," Institute Of Experimental Epileptology And Cognition Research (Ieecr), Faculty Of Medicine, University Of Bonn, Bonn, Germany. Electronic Address: S.Musall@Fz-Juelich.De.","Institute of Biological Information Processing (IBI-3), Forschungszentrum Jülich, Jülich, Germany; Department of Systems Neurophysiology, Institute for Biology II, RWTH Aachen University, Aachen, Germany; Institute of Experimental Epileptology and Cognition Research (IEECR), Faculty of Medicine, University of Bonn, Bonn, Germany. Electronic address: s.musall@fz-juelich.de.",,
67,"Department Of Psychology, Sapienza University Of Rome, Rome, Italy","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy. Electronic address: sofia.ciccarone@uniroma1.it.",,
68," Irccs Fondazione Santa Lucia, Rome, Italy. Electronic Address: Sofia.Ciccarone@Uniroma1.It.","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy. Electronic address: sofia.ciccarone@uniroma1.it.",,
69," Irccs Fondazione Santa Lucia, Rome, Italy. Electronic Address: Eleonora.Parrotta@Uniroma1.It.","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy. Electronic address: eleonora.parrotta@uniroma1.it.",,
70," Irccs Fondazione Santa Lucia, Rome, Italy.","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy.",,
71," Irccs Fondazione Santa Lucia, Rome, Italy","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy; Center for Life Nano- & Neuro-Science, Italian Institute of Technology (IIT), Rome, Italy.",,
72," Center For Life Nano- & Neuro-Science, Italian Institute Of Technology (Iit), Rome, Italy.","Department of Psychology, Sapienza University of Rome, Rome, Italy; IRCCS Fondazione Santa Lucia, Rome, Italy; Center for Life Nano- & Neuro-Science, Italian Institute of Technology (IIT), Rome, Italy.",,
73,"Institute For Advanced Simulation (Ias-6), Jülich Research Centre, Jülich, Germany.","Institute for Advanced Simulation (IAS-6), Jülich Research Centre, Jülich, Germany.",,
74,"Team Nectarine, Inria At University Of Lorraine, 67000 Strasbourg, France","Team Nectarine, Inria at University of Lorraine, 67000 Strasbourg, France; Team MLMS, University of Strasbourg, iCube, CNRS, 67000 Strasbourg, France.",,
75," Team Mlms, University Of Strasbourg, Icube, Cnrs, 67000 Strasbourg, France.","Team Nectarine, Inria at University of Lorraine, 67000 Strasbourg, France; Team MLMS, University of Strasbourg, iCube, CNRS, 67000 Strasbourg, France.",,
76,"Institute Of Neuroinformatics, University Of Zurich And Eth Zurich, Switzerland.","Institute of Neuroinformatics, University of Zurich and ETH Zurich, Switzerland.",,
77,"Department Of Neuroscience, The Scripps Research Institute, San Diego, Ca, Usa.","Department of Neuroscience, The Scripps Research Institute, San Diego, CA, USA.",,
78,"Department Of Biology, University Of Ottawa, Ottawa, On K1N 6N5, Canada.","Department of Biology, University of Ottawa, Ottawa, ON K1N 6N5, Canada.",,
79,"Institute Of Neuroscience And Departments Of Biology, Mathematics And Physics, University Of Oregon, Eugene, Or, Usa","Institute of Neuroscience and Departments of Biology, Mathematics and Physics, University of Oregon, Eugene, OR, USA; Department of Physics and Astronomy, University of Padua, Padua, Italy; Translational Neural Engineering Laboratory (TNE Lab), Neuro-X Institute, EPFL, Geneva, Switzerland.",,
80," Department Of Physics And Astronomy, University Of Padua, Padua, Italy","Institute of Neuroscience and Departments of Biology, Mathematics and Physics, University of Oregon, Eugene, OR, USA; Department of Physics and Astronomy, University of Padua, Padua, Italy; Translational Neural Engineering Laboratory (TNE Lab), Neuro-X Institute, EPFL, Geneva, Switzerland.",,
81," Translational Neural Engineering Laboratory (Tne Lab), Neuro-X Institute, Epfl, Geneva, Switzerland.","Institute of Neuroscience and Departments of Biology, Mathematics and Physics, University of Oregon, Eugene, OR, USA; Department of Physics and Astronomy, University of Padua, Padua, Italy; Translational Neural Engineering Laboratory (TNE Lab), Neuro-X Institute, EPFL, Geneva, Switzerland.",,
82,"Cellular Neurophysiology Laboratory, Molecular Biophysics Unit, Indian Institute Of Science, Bangalore 560012, India.","Cellular Neurophysiology Laboratory, Molecular Biophysics Unit, Indian Institute of Science, Bangalore 560012, India.",,
83,"Institute For Neurophysiology, Charité Universitätsmedizin Berlin, Corporate Member Of Freie Universität Berlin And Humboldt-Universität Berlin, 10117 Berlin, Germany.","Institute for Neurophysiology, Charité Universitätsmedizin Berlin, corporate member of Freie Universität Berlin and Humboldt-Universität Berlin, 10117 Berlin, Germany.",,
84,"Department Of Neuroscience, The Scripps Research Institute, San Diego, Ca, Usa. Electronic Address: Rgast@Scripps.Edu.","Department of Neuroscience, The Scripps Research Institute, San Diego, CA, USA. Electronic address: rgast@scripps.edu.",,
85,"Cold Spring Harbor Laboratory, Cold Spring Harbor, Ny 11724, Usa.","Cold Spring Harbor Laboratory, Cold Spring Harbor, NY 11724, USA.",,
86,"Cold Spring Harbor Laboratory, Cold Spring Harbor, Ny 11724, Usa","Cold Spring Harbor Laboratory, Cold Spring Harbor, NY 11724, USA; Howard Hughes Medical Institute, Cold Spring Harbor, NY 11724, USA.",,
87," Howard Hughes Medical Institute, Cold Spring Harbor, Ny 11724, Usa.","Cold Spring Harbor Laboratory, Cold Spring Harbor, NY 11724, USA; Howard Hughes Medical Institute, Cold Spring Harbor, NY 11724, USA.",,
88,"Department Of Neurology, Baylor College Of Medicine, Houston, Tx 77030, Usa.","Department of Neurology, Baylor College of Medicine, Houston, TX 77030, USA.",,
89,"Department Of Neurology, The Johns Hopkins University School Of Medicine, Baltimore, Md, Usa.","Department of Neurology, The Johns Hopkins University School of Medicine, Baltimore, MD, USA.",,
90,"Department Of Molecular And Human Genetics, Jan And Dan Duncan Neurological Institute At Texas Children'S Hospital, Baylor College Of Medicine, Houston, Tx 77030, Usa","Department of Molecular and Human Genetics, Jan and Dan Duncan Neurological Institute at Texas Children's Hospital, Baylor College of Medicine, Houston, TX 77030, USA; Department of Neuroscience, Baylor College of Medicine, Houston, TX 77030, USA.",,
91," Department Of Neuroscience, Baylor College Of Medicine, Houston, Tx 77030, Usa.","Department of Molecular and Human Genetics, Jan and Dan Duncan Neurological Institute at Texas Children's Hospital, Baylor College of Medicine, Houston, TX 77030, USA; Department of Neuroscience, Baylor College of Medicine, Houston, TX 77030, USA.",,
92,"Department Of Physiology, University Of California At San Francisco, San Francisco, Ca 94158, Usa","Department of Physiology, University of California at San Francisco, San Francisco, CA 94158, USA; Howard Hughes Medical Institute, University of California at San Francisco, San Francisco, CA 94158, USA.",,
93," Howard Hughes Medical Institute, University Of California At San Francisco, San Francisco, Ca 94158, Usa.","Department of Physiology, University of California at San Francisco, San Francisco, CA 94158, USA; Howard Hughes Medical Institute, University of California at San Francisco, San Francisco, CA 94158, USA.",,
94," Howard Hughes Medical Institute, University Of California At San Francisco, San Francisco, Ca 94158, Usa. Electronic Address: Lily.Jan@Ucsf.Edu.","Department of Physiology, University of California at San Francisco, San Francisco, CA 94158, USA; Howard Hughes Medical Institute, University of California at San Francisco, San Francisco, CA 94158, USA. Electronic address: lily.jan@ucsf.edu.",,
95,"Faculty Of Veterinary Medicine, University Of Calgary, Calgary, Ab T2N 4N1, Canada","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
96," Department Of Physiology & Pharmacology, Cumming School Of Medicine, University Of Calgary, Calgary, Ab T2N 4N1, Canada","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
97," Hotchkiss Brain Institute, University Of Calgary, Calgary, Ab T2N 4N1, Canada.","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
98,"Faculty Of Veterinary Medicine, University Of Calgary, Calgary, Ab T2N 4N1, Canada.","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
99,"Addictive Substance Project, Tokyo Metropolitan Institute Of Medical Science, 2-1-6, Kamikitazawa, Setagaya-Ku, Tokyo 156-8506, Japan","Addictive Substance Project, Tokyo Metropolitan Institute of Medical Science, 2-1-6, Kamikitazawa, Setagaya-ku, Tokyo 156-8506, Japan; Department of Neuropsychopharmacology, National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan.",,
100," Department Of Neuropsychopharmacology, National Institute Of Mental Health, National Center Of Neurology And Psychiatry, Kodaira, Tokyo, Japan.","Addictive Substance Project, Tokyo Metropolitan Institute of Medical Science, 2-1-6, Kamikitazawa, Setagaya-ku, Tokyo 156-8506, Japan; Department of Neuropsychopharmacology, National Institute of Mental Health, National Center of Neurology and Psychiatry, Kodaira, Tokyo, Japan.",,
101,"School Of Medical Sciences, University Of Victoria, Victoria, Bc, Canada.","School of Medical Sciences, University of Victoria, Victoria, BC, Canada.",,
102,"Department Of Physiology & Pharmacology, Cumming School Of Medicine, University Of Calgary, Calgary, Ab T2N 4N1, Canada","Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Snyder Institute for Chronic Diseases, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
103," Hotchkiss Brain Institute, University Of Calgary, Calgary, Ab T2N 4N1, Canada","Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Snyder Institute for Chronic Diseases, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
104," Snyder Institute For Chronic Diseases, University Of Calgary, Calgary, Ab T2N 4N1, Canada.","Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Snyder Institute for Chronic Diseases, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
105,"Cervo Brain Research Centre, Québec Mental Health Institute, Graduate Program In Neuroscience, Université Laval University, Department Of Psychiatry And Neuroscience, Department Of Anesthesiology & Intensive Care, Université Laval, Quebec City, Qc, Canada.","CERVO Brain Research Centre, Québec Mental Health Institute, Graduate program in Neuroscience, Université Laval University, Department of Psychiatry and Neuroscience, Department of Anesthesiology & Intensive Care, Université Laval, Quebec City, QC, Canada.",,
106,"Hotchkiss Brain Institute, University Of Calgary, Calgary, Ab T2N 4N1, Canada.","Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
107,"Neuroimmunology Unit, Montreal Neurological Institute, Mcgill University, Montreal, Qc, Canada.","Neuroimmunology Unit, Montreal Neurological Institute, McGill University, Montreal, QC, Canada.",,
108,"Department Of Neurology And Neurosurgery, Montreal Neurological Institute-Hospital, Mcgill University, Montreal, Qc, Canada.","Department of Neurology and Neurosurgery, Montreal Neurological Institute-Hospital, McGill University, Montreal, QC, Canada.",,
109,"Hotchkiss Brain Institute, University Of Calgary, Calgary, Ab T2N 4N1, Canada","Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Clinical Neurosciences, University of Calgary, Calgary, AB, T2N RN1, Canada.",,
110," Department Of Clinical Neurosciences, University Of Calgary, Calgary, Ab, T2N Rn1, Canada.","Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Clinical Neurosciences, University of Calgary, Calgary, AB, T2N RN1, Canada.",,
111,"Department Of Dental Anesthesiology, Tokyo Dental College, 2-9-18, Misaki-Cho, Chiyoda-Ku, Tokyo 101-0061, Japan.","Department of Dental Anesthesiology, Tokyo Dental College, 2-9-18, Misaki-cho, Chiyoda-ku, Tokyo 101-0061, Japan.",,
112,"Department Of Surgery, Toho University Sakura Medical Center, 564-1, Shimoshizu, Sakura-Shi, Chiba 285-8741, Japan.","Department of Surgery, Toho University Sakura Medical Center, 564-1, Shimoshizu, Sakura-shi, Chiba 285-8741, Japan.",,
113," Department Of Anesthesiology, Saitama Medical University International Medical Center, 1397-1, Yamane, Hidaka, Saitama 350-1298, Japan","Addictive Substance Project, Tokyo Metropolitan Institute of Medical Science, 2-1-6, Kamikitazawa, Setagaya-ku, Tokyo 156-8506, Japan; Department of Anesthesiology, Saitama Medical University International Medical Center, 1397-1, Yamane, Hidaka, Saitama 350-1298, Japan; Department of Anesthesiology and Pain Medicine, Juntendo University School of Medicine, 2-1-1, Hongou, Bunkyou-ku, Tokyo 113-8421, Japan.",,
114," Department Of Anesthesiology And Pain Medicine, Juntendo University School Of Medicine, 2-1-1, Hongou, Bunkyou-Ku, Tokyo 113-8421, Japan.","Addictive Substance Project, Tokyo Metropolitan Institute of Medical Science, 2-1-6, Kamikitazawa, Setagaya-ku, Tokyo 156-8506, Japan; Department of Anesthesiology, Saitama Medical University International Medical Center, 1397-1, Yamane, Hidaka, Saitama 350-1298, Japan; Department of Anesthesiology and Pain Medicine, Juntendo University School of Medicine, 2-1-1, Hongou, Bunkyou-ku, Tokyo 113-8421, Japan.",,
115,"Department Of Psychiatry, Washington University School Of Medicine, St. Louis, Mo, Usa.","Department of Psychiatry, Washington University School of Medicine, St. Louis, MO, USA.",,
116,"National Drug And Alcohol Research Centre, University Of New South Wales, Sydney, Nsw, Australia.","National Drug and Alcohol Research Centre, University of New South Wales, Sydney, NSW, Australia.",,
117," Department Of Medical Genetics, And Department Of Psychiatry, University Of Calgary, Calgary, Ab, Canada.","Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Medical Genetics, and Department of Psychiatry, University of Calgary, Calgary, AB, Canada.",,
118," Department Of Surgery, Cumming School Of Medicine, University Of Calgary, Calgary, Ab T2N 4N1, Canada.","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Surgery, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada.",,
119," Hotchkiss Brain Institute, University Of Calgary, Calgary, Ab T2N 4N1, Canada. Electronic Address: Trangt@Ucalgary.Ca.","Faculty of Veterinary Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Department of Physiology & Pharmacology, Cumming School of Medicine, University of Calgary, Calgary, AB T2N 4N1, Canada; Hotchkiss Brain Institute, University of Calgary, Calgary, AB T2N 4N1, Canada. Electronic address: trangt@ucalgary.ca.",,
120,"Department Of Neurobiology, Harvard Medical School, Boston, Ma 02115, Usa.","Department of Neurobiology, Harvard Medical School, Boston, MA 02115, USA.",,
